Geographic_area,Indicator,Sex,GDP,log_GDP
Jordan,GDP per capita (current US$),Total,4405.488412,3.643994063
Kazakhstan,GDP per capita (current US$),Total,9812.526588,3.991780847
Kenya,GDP per capita (current US$),Total,1816.546916,3.259246619
Kiribati,GDP per capita (current US$),Total,1655.078839,3.218818686
Kosovo,GDP per capita (current US$),Total,4430.784947,3.646480672
Kuwait,GDP per capita (current US$),Total,32000.44847,4.505156065
Kyrgyzstan,GDP per capita (current US$),Total,1309.53496,3.117117097
Lao People's Democratic Republic,GDP per capita (current US$),Total,2534.89828,3.403960537
Latin America and Caribbean,GDP per capita (current US$),Total,-,#VALUE!
Latvia,GDP per capita (current US$),Total,17819.27138,4.250889942
Least developed countries,GDP per capita (current US$),Total,-,#VALUE!
Lebanon,GDP per capita (current US$),Total,7583.694722,3.879880842
Lesotho,GDP per capita (current US$),Total,1118.131284,3.048492799
Liberia,GDP per capita (current US$),Total,621.8929536,2.793715636
Libya,GDP per capita (current US$),Total,7685.949267,3.885697513
Liechtenstein,GDP per capita (current US$),Total,-,#VALUE!
Lithuania,GDP per capita (current US$),Total,19550.72778,4.291162929
Luxembourg,GDP per capita (current US$),Total,114685.1684,5.059507257
Madagascar,GDP per capita (current US$),Total,523.3590645,2.71879975
Malawi,GDP per capita (current US$),Total,411.5523404,2.614425076
Malaysia,GDP per capita (current US$),Total,11414.20698,4.057445744
Maldives,GDP per capita (current US$),Total,10626.5134,4.026390794
Mali,GDP per capita (current US$),Total,879.0080104,2.943992833
Malta,GDP per capita (current US$),Total,29737.24598,4.473300745
Marshall Islands,GDP per capita (current US$),Total,-,#VALUE!
Mauritania,GDP per capita (current US$),Total,1679.444873,3.225165753
Mauritius,GDP per capita (current US$),Total,11099.24028,4.045293253
Mexico,GDP per capita (current US$),Total,9946.033829,3.997649932
Micronesia (Federated States of),GDP per capita (current US$),Total,-,#VALUE!
Middle East and North Africa,GDP per capita (current US$),Total,-,#VALUE!
Monaco,GDP per capita (current US$),Total,-,#VALUE!
Mongolia,GDP per capita (current US$),Total,4339.843279,3.637474046
Montenegro,GDP per capita (current US$),Total,8910.495934,3.949901876
Morocco,GDP per capita (current US$),Total,3204.095003,3.505705385
Mozambique,GDP per capita (current US$),Total,503.5707727,2.702060516
Myanmar,GDP per capita (current US$),Total,1407.813143,3.148545015
Namibia,GDP per capita (current US$),Total,4957.458222,3.695259063
Nauru,GDP per capita (current US$),Total,9396.981967,3.972988393
Nepal,GDP per capita (current US$),Total,1071.050761,3.029810054
Netherlands,GDP per capita (current US$),Total,52295.03905,4.718460492
New Zealand,GDP per capita (current US$),Total,41557.80241,4.618652574
Nicaragua,GDP per capita (current US$),Total,1912.903745,3.281693117
Niger,GDP per capita (current US$),Total,553.8950504,2.743427484
Nigeria,GDP per capita (current US$),Total,2229.858696,3.348277343
North America,GDP per capita (current US$),Total,-,#VALUE!
North Macedonia,GDP per capita (current US$),Total,6022.216179,3.779756341
Northern Mariana Islands,GDP per capita (current US$),Total,-,#VALUE!
Norway,GDP per capita (current US$),Total,75419.63487,4.877484426
Oman,GDP per capita (current US$),Total,15343.062,4.18591204
Pakistan,GDP per capita (current US$),Total,1284.702041,3.108802414
Palau,GDP per capita (current US$),Total,14901.98353,4.173244079
Panama,GDP per capita (current US$),Total,15731.01603,4.196756774
Papua New Guinea,GDP per capita (current US$),Total,2829.170309,3.451659092
Paraguay,GDP per capita (current US$),Total,5414.799138,3.733582351
Peru,GDP per capita (current US$),Total,6977.695784,3.843712031
Philippines,GDP per capita (current US$),Total,3485.084218,3.542213277
Poland,GDP per capita (current US$),Total,15694.73863,4.195754088
Portugal,GDP per capita (current US$),Total,23213.9782,4.365749572
Puerto Rico,GDP per capita (current US$),Total,32873.71927,4.516848842
Qatar,GDP per capita (current US$),Total,62088.06183,4.793008103
Republic of Korea,GDP per capita (current US$),Total,31846.21823,4.503057867
Republic of Moldova,GDP per capita (current US$),Total,4494.023797,3.652635368
Romania,GDP per capita (current US$),Total,12913.07396,4.111029638
Russian Federation,GDP per capita (current US$),Total,11584.99538,4.063895865
Rwanda,GDP per capita (current US$),Total,820.0252417,2.913827221
Saint Kitts and Nevis,GDP per capita (current US$),Total,19934.97453,4.299615685
Saint Lucia,GDP per capita (current US$),Total,11611.41545,4.064885164
Saint Vincent and the Grenadines,GDP per capita (current US$),Total,7457.509504,3.872593816
Samoa,GDP per capita (current US$),Total,4324.014018,3.635887093
San Marino,GDP per capita (current US$),Total,-,#VALUE!
Sao Tome and Principe,GDP per capita (current US$),Total,1946.643614,3.289286449
Saudi Arabia,GDP per capita (current US$),Total,23139.79866,4.364359576
Senegal,GDP per capita (current US$),Total,1446.830965,3.160417795
Serbia,GDP per capita (current US$),Total,7411.558649,3.86990955
Seychelles,GDP per capita (current US$),Total,17448.27029,4.24175238
Sierra Leone,GDP per capita (current US$),Total,527.5336344,2.722250155
Singapore,GDP per capita (current US$),Total,65233.28244,4.814469232
Sint Maarten,GDP per capita (current US$),Total,-,#VALUE!
Slovakia,GDP per capita (current US$),Total,19266.0141,4.284791874
Slovenia,GDP per capita (current US$),Total,25940.72803,4.41398216
Solomon Islands,GDP per capita (current US$),Total,2373.63247,3.375413474
South Africa,GDP per capita (current US$),Total,6001.401121,3.778252655
South Asia,GDP per capita (current US$),Total,-,#VALUE!
Spain,GDP per capita (current US$),Total,29564.7449,4.470774136
Sri Lanka,GDP per capita (current US$),Total,3853.083693,3.585808442
State of Palestine,GDP per capita (current US$),Total,-,#VALUE!
Sub-Saharan Africa,GDP per capita (current US$),Total,-,#VALUE!
Sudan,GDP per capita (current US$),Total,441.5056034,2.64493622
Suriname,GDP per capita (current US$),Total,6359.833614,3.803445754
Sweden,GDP per capita (current US$),Total,51647.99156,4.713053438
Switzerland,GDP per capita (current US$),Total,81989.44351,4.913757939
Tajikistan,GDP per capita (current US$),Total,870.7875893,2.939912231
Thailand,GDP per capita (current US$),Total,7806.742211,3.892469839
Timor-Leste,GDP per capita (current US$),Total,1560.509822,3.193266507
Togo,GDP per capita (current US$),Total,679.2902491,2.832055381
Tonga,GDP per capita (current US$),Total,4903.152903,3.690475437
Trinidad and Tobago,GDP per capita (current US$),Total,17397.98176,4.240498871
Tunisia,GDP per capita (current US$),Total,3317.453593,3.520804856
Turkey,GDP per capita (current US$),Total,9126.561346,3.960307177
Turkmenistan,GDP per capita (current US$),Total,-,#VALUE!
Turks and Caicos Islands,GDP per capita (current US$),Total,31353.32932,4.496283664
Tuvalu,GDP per capita (current US$),Total,4059.029996,3.608422261
Uganda,GDP per capita (current US$),Total,794.3410779,2.900007022
Ukraine,GDP per capita (current US$),Total,3659.031312,3.563366126
United Arab Emirates,GDP per capita (current US$),Total,43103.32306,4.634510753
United Kingdom,GDP per capita (current US$),Total,42328.90026,4.626636985
United Republic of Tanzania,GDP per capita (current US$),Total,1122.12181,3.050040004
United States,GDP per capita (current US$),Total,65297.51751,4.814896671
Uruguay,GDP per capita (current US$),Total,16190.12696,4.209250254
Uzbekistan,GDP per capita (current US$),Total,1724.856544,3.236752981
Vanuatu,GDP per capita (current US$),Total,3115.35862,3.493508047
Viet Nam,GDP per capita (current US$),Total,2715.276036,3.433813987
Virgin Islands U.S.,GDP per capita (current US$),Total,-,#VALUE!
West and Central Africa,GDP per capita (current US$),Total,-,#VALUE!
Western Europe,GDP per capita (current US$),Total,-,#VALUE!
World,GDP per capita (current US$),Total,-,#VALUE!
Yemen,GDP per capita (current US$),Total,774.3344898,2.888928604
Zambia,GDP per capita (current US$),Total,1305.063254,3.115631562
Zimbabwe,GDP per capita (current US$),Total,1463.98591,3.165536897
